artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs
Ahmed Abdul-Malik,Double bass,1927-01-30,1993-10-02,False,1927-01-30,1993-10-02,66.0
Placide Adams,Upright bass,1929,2003,False,1929-01-01,2003-01-01,74.0
Samuel Adams,Upright bass,1985-12-30,NaN,True,1985-12-30,,34.0
Osama Afifi,Bass,NaN,NaN,NaN,,,NaN
Moses Allen,Upright bass,1907,1983,False,1907-01-01,1983-01-01,76.0
Vernon Alley,Upright bass,1915,2004,False,1915-01-01,2004-01-01,89.0
Ben Allison,Double bass,1966-11-17,NaN,True,1966-11-17,,53.0
Bjørn Alterhaug,Upright bass,1945-06-03,NaN,True,1945-06-03,,75.0
Hayes Alvis,Upright bass,1907-05-01,1972-12-29,False,1907-05-01,1972-12-29,65.0
Andreas Amundsen,Upright bass,1980-12-28,NaN,True,1980-12-28,,39.0
Erik Amundsen,Upright bass,1937-02-01,2015-02-22,False,1937-02-01,2015-02-22,78.0
Arild Andersen,Upright bass,1945-10-27,NaN,True,1945-10-27,,74.0
Thomas Winther Andersen,Double bass,1969-04-29,NaN,True,1969-04-29,,51.0
Reid Anderson,Double bass,1970-10-15,NaN,True,1970-10-15,,49.0
Bjørnar Andresen,Double bass,1945-04-01,2004-10-02,False,1945-04-01,2004-10-02,59.0
Roger Arntzen,Upright bass,1976-06-03,NaN,True,1976-06-03,,44.0
Jim Aton,Double bass,1925,2008,False,1925-01-01,2008-01-01,82.0
Edvard Askeland,Upright bass,1954-12-10,NaN,True,1954-12-10,,65.0
Tine Asmundsen,Upright bass,1963-04-08,NaN,True,1963-04-08,,57.0
Harry Babasin,Upright bass,1921,1988,False,1921-01-01,1988-01-01,66.0
Roy Babbington,Upright bass,1940,NaN,True,1940-01-01,,80.0
Don Bagley,Double bass,1927-07-18,2012-07-26,False,1927-07-18,2012-07-26,85.0
Steve Bailey,Bass guitar,1960-02-10,NaN,True,1960-02-10,,60.0
Victor Bailey,Bass,1960-03-27,2016-11-11,False,1960-03-27,2016-11-11,56.0
Fred Thelonious Baker,Upright bass,1960,NaN,True,1960-01-01,,60.0
Tom Barney,Bass,NaN,NaN,NaN,,,NaN
Phil Bates,Upright bass,1931,NaN,True,1931-01-01,,89.0
Carles Benavent,Bass guitar,1954-03-01,NaN,True,1954-03-01,,66.0
Joe Benjamin,Upright bass,1919,1974,False,1919-01-01,1974-01-01,55.0
Max Bennett,Bass guitar,1928-05-24,2018-09-14,False,1928-05-24,2018-09-14,90.0
Frode Berg,Double bass,1971-10-24,NaN,True,1971-10-24,,48.0
Chuck Berghofer,Double bass,1937-06-14,NaN,True,1937-06-14,,83.0
Dan Berglund,Upright bass,1963-05-05,NaN,True,1963-05-05,,57.0
Jeff Berlin,Bass guitar,1953-01-17,NaN,True,1953-01-17,,67.0
Artie Bernstein,Double bass,1909-02-04,1964-01-04,False,1909-02-04,1964-01-04,54.0
Keter Betts,Bass,1928-07-22,2005-08-06,False,1928-07-22,2005-08-06,77.0
Carlos Bica,Double bass,1958,NaN,True,1958-01-01,,62.0
Charlie Biddle,Double bass,1926-07-28,2003-02-05,False,1926-07-28,2003-02-05,76.0
Alex Blake,Double bass,1951-12-21,NaN,True,1951-12-21,,68.0
Jimmy Blanton,Double bass,1918-10-05,1942,False,1918-10-05,1942-01-01,23.0
Svein Olav Blindheim,Double bass,1954-07-25,NaN,True,1954-07-25,,66.0
Jesper Bodilsen,Upright bass,1970-01-05,NaN,True,1970-01-05,,50.0
Richard Bona,Bass guitar,1967-10-28,NaN,True,1967-10-28,,52.0
Jimmy Bond,Double bass,1933-01-27,2012-04-26,False,1933-01-27,2012-04-26,79.0
Walter Booker,Double bass,1933-12-17,2006-11-24,False,1933-12-17,2006-11-24,72.0
"Arthur ""Juinie"" Booth",Upright bass,1948,NaN,True,1948-01-01,,72.0
Nelson Boyd,Upright bass,1928,1985,False,1928-01-01,1985-01-01,57.0
Ronnie Boykins,Double bass,1935-12-17,1980-04-20,False,1935-12-17,1980-04-20,44.0
Wellman Braud,Double bass,1891-01-25,1966-10-29,False,1891-01-25,1966-10-29,75.0
Ellen Brekken,Double bass,1985-06-20,NaN,True,1985-06-20,,35.0
Brian Bromberg,Double bass,1960-12-05,NaN,True,1960-12-05,,59.0
Harvey Brooks,Bass guitar,1944-07-04,NaN,True,1944-07-04,,76.0
Baron Browne,Upright bass,NaN,NaN,NaN,,,NaN
Cameron Brown,Double bass,1945-12-21,NaN,True,1945-12-21,,74.0
Paul H. Brown,Upright bass,1934,2016,False,1934-01-01,2016-01-01,82.0
Ray Brown,Double bass,1926-10-13,2002-07-02,False,1926-10-13,2002-07-02,75.0
Steve Brown,String bass,1890-01-13,1965-09-15,False,1890-01-13,1965-09-15,75.0
Bunny Brunel,Bass guitar,1950-03-02,NaN,True,1950-03-02,,70.0
Monty Budwig,Double bass,1926-12-26,1992-03-09,False,1926-12-26,1992-03-09,65.0
Tony Bunn,Bass,1957-11-18,NaN,True,1957-11-18,,62.0
Oteil Burbridge,Bass guitar,1964,NaN,True,1964-01-01,,56.0
Dwayne Burno,Double bass,1970-06-10,2013-12-28,False,1970-06-10,2013-12-28,43.0
Lennie Bush,Double bass,1927-06-06,2004-06-15,False,1927-06-06,2004-06-15,77.0
Eddie Calhoun,Upright bass,1921,1993,False,1921-01-01,1993-01-01,72.0
Red Callender,Double bass,1916-03-06,1992-03-08,False,1916-03-06,1992-03-08,76.0
James Cammack,Double bass,1956-04-15,NaN,True,1956-04-15,,64.0
Alain Caron,Bass guitar,1955-05-05,NaN,True,1955-05-05,,65.0
Dave Carpenter,Bass guitar,1959,2008,False,1959-01-01,2008-01-01,49.0
Ron Carter,Double bass,1937-05-04,NaN,True,1937-05-04,,83.0
Edo Castro,Upright bass,1957,NaN,True,1957-01-01,,63.0
Malcolm Cecil,Upright bass,1937,NaN,True,1937-01-01,,83.0
Clive Chaman,Bass guitar,1949-09-05,NaN,True,1949-09-05,,71.0
Paul Chambers,Double bass,1935-04-22,1969-01-04,False,1935-04-22,1969-01-04,33.0
Stanley Clarke,Double bass,1951-06-30,NaN,True,1951-06-30,,69.0
John Clayton,Double bass,1952-08-20,NaN,True,1952-08-20,,68.0
Jeff Clyne,Upright bass,1937,2009,False,1937-01-01,2009-01-01,72.0
Avishai Cohen,Bass,1970-04-20,NaN,True,1970-04-20,,50.0
Greg Cohen,Bass guitar,1953-07-13,NaN,True,1953-07-13,,67.0
Ira Coleman,Double bass,1956,NaN,True,1956-01-01,,64.0
