artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
Ahmed Abdul-Malik,Upright bass,1/30/1927,10/2/1993,FALSE,1/30/1927,10/2/1993,66,NaN
Placide Adams,Upright bass,1929,2003,FALSE,1/1/1929,1/1/2003,74,NaN
Samuel Adams,Upright bass,12/30/1985,NaN,TRUE,12/30/1985,,34,NaN
Moses Allen,Upright bass,1907,1983,FALSE,1/1/1907,1/1/1983,76,NaN
Vernon Alley,Upright bass,1915,2004,FALSE,1/1/1915,1/1/2004,89,NaN
Ben Allison,Upright bass,11/17/1966,NaN,TRUE,11/17/1966,,53,NaN
Bjørn Alterhaug,Upright bass,6/3/1945,NaN,TRUE,6/3/1945,,75,NaN
Hayes Alvis,Upright bass,5/1/1907,12/29/1972,FALSE,5/1/1907,12/29/1972,65,NaN
Andreas Amundsen,Upright bass,12/28/1980,NaN,TRUE,12/28/1980,,39,NaN
Erik Amundsen,Upright bass,2/1/1937,2/22/2015,FALSE,2/1/1937,2/22/2015,78,NaN
Arild Andersen,Upright bass,10/27/1945,NaN,TRUE,10/27/1945,,74,NaN
Thomas Winther Andersen,Upright bass,4/29/1969,NaN,TRUE,4/29/1969,,51,NaN
Reid Anderson,Upright bass,10/15/1970,NaN,TRUE,10/15/1970,,49,NaN
Bjørnar Andresen,Upright bass,4/1/1945,10/2/2004,FALSE,4/1/1945,10/2/2004,59,NaN
Roger Arntzen,Upright bass,6/3/1976,NaN,TRUE,6/3/1976,,44,NaN
Jim Aton,Upright bass,1925,2008,FALSE,1/1/1925,1/1/2008,82,NaN
Edvard Askeland,Upright bass,12/10/1954,NaN,TRUE,12/10/1954,,65,NaN
Tine Asmundsen,Upright bass,4/8/1963,NaN,TRUE,4/8/1963,,57,NaN
Harry Babasin,Upright bass,1921,1988,FALSE,1/1/1921,1/1/1988,66,Emphysema
Roy Babbington,Upright bass,1940,NaN,TRUE,1/1/1940,,80,NaN
Don Bagley,Upright bass,7/18/1927,7/26/2012,FALSE,7/18/1927,7/26/2012,85,NaN
Steve Bailey,Electric bass,2/10/1960,NaN,TRUE,2/10/1960,,60,NaN
Victor Bailey,Upright bass,3/27/1960,11/11/2016,FALSE,3/27/1960,11/11/2016,56,ALS
Fred Thelonious Baker,Upright bass,1960,NaN,TRUE,1/1/1960,,60,NaN
