artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
Woody Allen,Clarinet,1935-11-30,NaN,TRUE,1935-11-30,NaN,84,NaN
Barney Bigard,Clarinet,1906-03-03,1980-06-27,FALSE,1906-03-03,1980-06-27,74,NaN
Don Burrows,Clarinet,1928-08-08,2020-03-12,FALSE,1928-08-08,2020-03-12,91,Alzheimer's
Don Byron,Clarinet,1958-11-08,NaN,TRUE,1958-11-08,NaN,61,NaN
Evan Christopher,Clarinet,1969-08-31,NaN,TRUE,1969-08-31,NaN,51,NaN
Anat Cohen,Clarinet,1975-01-01,NaN,TRUE,1975-01-01,NaN,45,NaN
Eddie Daniels,Clarinet,1941-10-19,NaN,TRUE,1941-10-19,NaN,79,NaN
Kenny Davern,Clarinet,1935-01-07,2006-12-12,FALSE,1935-01-07,2006-12-12,71,Heart Attack
Buddy DeFranco,Clarinet,1923-02-17,2014-12-24,FALSE,1923-02-17,2014-12-24,91,NaN
Johnny Dodds,Clarinet,1892-04-12,1940-08-08,FALSE,1892-04-12,1940-08-08,48,Heart Attack
Irving Fazola,Clarinet,1912-12-20,1949-03-20,FALSE,1912-12-20,1949-03-20,36,Heart Attack
Pete Fountain,Clarinet,1930-07-03,2016-08-06,FALSE,1930-07-03,2016-08-06,86,Heart Failure
Victor Goines,Saxophone,1961-08-06,NaN,TRUE,1961-08-06,NaN,59,NaN
Benny Goodman,Clarinet,1909-05-30,1986-06-13,FALSE,1909-05-30,1986-06-13,77,Heart Attack
Edmond Hall,Clarinet,1901-05-15,1967-02-11,FALSE,1901-05-15,1967-02-11,65,NaN
Jimmy Hamilton,Clarinet,1917-05-25,1994-09-20,FALSE,1917-05-25,1994-09-20,77,NaN
Woody Herman,Clarinet,1913-05-16,1987-10-29,FALSE,1913-05-16,1987-10-29,74,NaN
Peanuts Hucko,Clarinet,1918-04-07,2003-06-19,FALSE,2003-06-19,2003-06-19,85,NaN
Michael Marcus,Clarinet,1952-08-25,NaN,TRUE,1918-04-07,NaN,68,NaN
