artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs
Espen Aalberg,Drums,1975,NaN,True,1975-01-01,,45.0
Knut Aalefjær,Drums,1974-12-21,NaN,True,1974-12-21,,45.0
Brian Abrahams,vocalist,1947-06-26,NaN,True,1947-06-26,,73.0
Clarence Acox Jr.,Drums,1952,NaN,True,1952-01-01,,68.0
Airto Moreira,Drums,1941-08-05,NaN,True,1941-08-05,,79.0
Alex Acuña,Drums,1944-12-12,NaN,True,1944-12-12,,75.0
Annette A. Aguilar,Percussion,1957,NaN,True,1957-01-01,,63.0
Rashied Ali,Drums,1933-07-01,2009-08-12,False,1933-07-01,2009-08-12,76.0
Don Alias,Drums,1939-12-25,2006-03-28,False,1939-12-25,2006-03-28,66.0
Carl Allen,Drums,1961,NaN,True,1961-01-01,,59.0
Barry Altschul,Drums,1943-01-06,NaN,True,1943-01-06,,77.0
Leon Anderson,Drums,NaN,NaN,NaN,,,NaN
Charly Antolini,Drums,1937,NaN,True,1937-01-01,,83.0
Steve Argüelles,Drums,1963-11-16,NaN,True,1963-11-16,,56.0
John Armatage,Drums,1929-08-05,NaN,True,1929-08-05,,91.0
Joe Ascione,Drums,1961-03-14,2016-03-11,False,1961-03-14,2016-03-11,54.0
Jon Audun Baar,Drums,1986,NaN,True,1986-01-01,,34.0
Colin Bailey,Drums,1934-07-09,NaN,True,1934-07-09,,86.0
Dave Bailey,Drums,1926,NaN,True,1926-01-01,,94.0
Donald Bailey,Drums,1933-03-26,2013-10-15,False,1933-03-26,2013-10-15,80.0
Ginger Baker,Drums,1939-08-19,2019-10-06,False,1939-08-19,2019-10-06,80.0
Newman Taylor Baker,Washboard,1943,NaN,True,1943-01-01,,77.0
Butch Ballard,Drums,1918-12-26,2011-10-01,False,1918-12-26,2011-10-01,92.0
Tom Bancroft,Drums,1967,NaN,True,1967-01-01,,53.0
Paul Barbarin,Drums,1899-05-05,1969-02-17,False,1899-05-05,1969-02-17,69.0
