artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
Espen Aalberg,Drums,1905-05-28,NaN,TRUE,1975-01-01,NaN,45,NaN
Knut Aalefjær,Drums,1974-12-21,NaN,TRUE,1974-12-21,NaN,45,NaN
Brian Abrahams,Vocals,1947-06-26,NaN,TRUE,1947-06-26,NaN,73,NaN
Clarence Acox Jr.,Drums,1905-05-05,NaN,TRUE,1952-01-01,NaN,68,NaN
Airto Moreira,Drums,1941-08-05,NaN,TRUE,1941-08-05,NaN,79,NaN
Alex Acuña,Drums,1944-12-12,NaN,TRUE,1944-12-12,NaN,75,NaN
Annette A. Aguilar,Percussion,1905-05-10,NaN,TRUE,1957-01-01,NaN,63,NaN
Rashied Ali,Drums,1933-07-01,2009-08-12,FALSE,1933-07-01,2009-08-12,76,Heart Attack
Don Alias,Percussion,1939-12-25,2006-03-28,FALSE,1939-12-25,2006-03-28,66,NaN
Carl Allen,Drums,1905-05-14,NaN,TRUE,1961-01-01,NaN,59,NaN
Barry Altschul,Drums,1943-01-06,NaN,TRUE,1943-01-06,NaN,77,NaN
Charly Antolini,Drums,1905-04-20,NaN,TRUE,1937-01-01,NaN,83,NaN
Steve Argüelles,Drums,1963-11-16,NaN,TRUE,1963-11-16,NaN,56,NaN
John Armatage,Drums,1929-08-05,NaN,TRUE,1929-08-05,NaN,91,NaN
Joe Ascione,Drums,1961-03-14,2016-03-11,FALSE,1961-03-14,2016-03-11,54,Multiple Sclerosis
Jon Audun Baar,Drums,1905-06-08,NaN,TRUE,1986-01-01,NaN,34,NaN
Colin Bailey,Drums,1934-07-09,NaN,TRUE,1934-07-09,NaN,86,NaN
Dave Bailey,Drums,1905-04-09,NaN,TRUE,1926-01-01,NaN,94,NaN
Donald Bailey,Drums,1933-03-26,2013-10-15,FALSE,1933-03-26,2013-10-15,80,NaN
Ginger Baker,Drums,1939-08-19,2019-10-06,FALSE,1939-08-19,2019-10-06,80,COPD
Newman Taylor Baker,Percussion,1905-04-26,NaN,TRUE,1943-01-01,NaN,77,NaN
Butch Ballard,Drums,1918-12-26,2011-10-01,FALSE,1918-12-26,2011-10-01,92,NaN
Tom Bancroft,Drums,1905-05-20,NaN,TRUE,1967-01-01,NaN,53,NaN
Paul Barbarin,Drums,1899-05-05,1969-02-17,FALSE,1899-05-05,1969-02-17,69,Heart Attack
Danny Barcelona,Drums,1929-07-23,2007-04-01,FALSE,1929-07-23,2007-04-01,77,Cancer
Joey Baron,Drums,1955-06-26,NaN,TRUE,1955-06-26,NaN,65,NaN
Ray Barretto,Percussion,1929-04-29,2006-02-17,FALSE,1929-04-29,2006-02-17,76,Heart Failure
Ray Bauduc,Drums,1906-06-18,1988-01-08,FALSE,1906-06-18,1988-01-08,81,NaN
Louie Bellson,Drums,1924-07-06,2009-02-14,FALSE,1924-07-06,2009-02-14,84,Parkinson's
Warren Benbow,Percussion,1954-12-22,NaN,TRUE,1954-12-22,NaN,65,NaN
Gregg Bendian,Drums,1905-05-16,NaN,TRUE,1963-01-01,NaN,57,NaN
Tommy Benford,Drums,1905-04-19,1994-03-24,FALSE,1905-04-19,1994-03-24,88,NaN
Han Bennink,Drums,1942-04-17,NaN,TRUE,1942-04-17,NaN,78,NaN
Black Benny,Percussion,1890-01-01,1924-01-01,FALSE,1890-01-01,1924-01-01,34,NaN
Chief Bey,Drums,1905-03-27,1905-06-26,FALSE,1913-01-01,2004-01-01,90,Cancer (Stomach)
Big Bill Bissonnette,Drums,1905-04-20,1905-07-10,FALSE,1937-01-01,2018-01-01,81,NaN
Snorre Bjerck,Percussion,1962-02-25,NaN,TRUE,1962-02-25,NaN,58,NaN
Ivar Loe Bjørnstad,Drums,1905-06-03,NaN,TRUE,1981-01-01,NaN,39,NaN
