artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
Eivind Aarset,Guitar,1961-03-23,NaN,True,1961-03-23,NaN,59,NaN
Rez Abbasi,Guitar,1965-08-27,NaN,True,1965-08-27,NaN,55,NaN
John Abercrombie,Guitar,1944-12-16,2017-08-22,False,1944-12-16,2017-08-22,72,Heart Failure
Bernard Addison,Guitar,1905-04-15,1990-12-18,False,1905-04-15,1990-12-18,85,NaN
Ron Affif,Guitar,1965-12-30,NaN,True,1965-12-30,NaN,54,NaN
Noël Akchoté,Guitar,1968-12-07,NaN,True,1968-12-07,NaN,51,NaN
Jan Akkerman,Guitar,1946-12-24,NaN,True,1946-12-24,NaN,73,NaN
Howard Alden,Guitar,1958-10-17,NaN,True,1958-10-17,NaN,61,NaN
Johnny Alegre,Guitar,1955-06-04,NaN,True,1955-06-04,NaN,65,NaN
Oscar Alemán,Guitar,1909-02-20,1980-10-14,False,1909-02-20,1980-10-14,71,NaN
Laurindo Almeida,Guitar,1917-09-02,1995-07-26,False,1917-09-02,1995-07-26,77,Leukemia
Peter Almqvist,Guitar,1957-07-17,2015-04-01,False,1957-07-17,2015-04-01,58,NaN
Chuck Anderson,Guitar,1947-06-21,NaN,True,1947-06-21,NaN,73,NaN
Ron Anthony,Guitar,1933-12-16,NaN,True,1933-12-16,NaN,86,NaN
Marc Antoine,Guitar,1963-05-28,NaN,True,1963-05-28,NaN,57,NaN
Bruce Arnold,Guitar,1955-07-31,NaN,True,1955-07-31,NaN,65,NaN
Irving Ashby,Guitar,1920-12-29,NaN,True,1920-12-29,NaN,99,NaN
Badi Assad,Guitar,1966-12-23,NaN,True,1966-12-23,NaN,53,NaN
Jay Azzolina,Guitar,1952-12-23,NaN,True,1952-12-23,NaN,68,NaN
Elek Bacsik,Guitar,1926-05-22,NaN,True,1926-05-22,NaN,94,NaN
Derek Bailey,Guitar,1930-01-29,2005-12-25,False,1930-01-29,2005-12-25,75,Motor Neuron Disease
Sheryl Bailey,Guitar,1966-05-20,NaN,True,1966-05-20,NaN,54,NaN
Duck Baker,Guitar,1949-07-30,NaN,True,1949-07-30,NaN,71,NaN
Biel Ballester,Guitar,1974-01-01,NaN,True,1974-01-01,NaN,46,NaN
Carlos Barbosa-Lima,Guitar,1944-12-17,NaN,True,1944-12-17,NaN,75,NaN
Dave Barbour,Guitar,1912-05-28,1965-12-11,False,1912-05-28,1965-12-11,53,Hemorrhaged Ulcer
Danny Barker,Vocals,1909-01-13,1994-03-13,False,1909-01-13,1994-03-13,85,Cancer
Everett Barksdale,Guitar,1910-04-28,1986-01-29,False,1910-04-28,1986-01-29,76,NaN
Junior Barnard,Guitar,1920-12-17,1951-04-15,False,1920-12-17,1951-04-15,30,NaN
George Barnes,Guitar,1921-07-17,1977-09-05,False,1921-07-17,1977-09-05,56,Heart Attack
Claude Barthélemy,Guitar,1956-08-22,NaN,True,1956-08-22,NaN,64,NaN
Billy Bauer,Guitar,1915-11-14,2005-06-16,False,1915-11-14,2005-06-16,89,Pneumonia
Billy Bean,Guitar,1933-12-26,2012-02-06,False,1933-12-26,2012-02-06,78,NaN
Gerry Beaudoin,Guitar,1954-08-06,NaN,True,1954-08-06,NaN,66,NaN
Joe Beck,Guitar,1945-07-29,2008-07-22,False,1945-07-29,2008-07-22,62,Cancer (Lung)
David Becker,Guitar,1961-10-20,NaN,True,1961-10-20,NaN,58,NaN
Kelvyn Bell,Guitar,1956-06-19,NaN,True,1956-06-19,NaN,64,NaN
Roni Ben-Hur,Guitar,1962-07-09,NaN,True,1962-07-09,NaN,58,NaN
George Benson,Vocals,1943-03-22,NaN,True,1943-03-22,NaN,77,NaN
Randy Bernsen,Guitar,1954-07-15,NaN,True,1954-07-15,NaN,66,NaN
Peter Bernstein,Guitar,1967-09-03,NaN,True,1967-09-03,NaN,53,NaN
Gene Bertoncini,Guitar,1937-04-06,NaN,True,1937-04-06,NaN,83,NaN
Skeeter Best,Guitar,1914-11-20,1985-05-27,False,1914-11-20,1985-05-27,70,NaN
Ed Bickert,Guitar,1932-11-29,2019-02-28,False,1932-11-29,2019-02-28,86,NaN
Raoul Björkenheim,Guitar,1956-02-11,NaN,True,1956-02-11,NaN,64,NaN
Lee Blair,Guitar,1903-10-10,1966-10-15,False,1903-10-10,1966-10-15,63,NaN
Jack Bland,Guitar,1899-05-08,1968-10-18,False,1899-05-08,1968-10-18,69,NaN
Marek Blizi?ski,Guitar,1947-03-22,1989-03-17,False,1947-03-22,1989-03-17,41,Cancer (Skin)
Paul Bollenback,Guitar,1959-06-06,NaN,True,1959-06-06,NaN,61,NaN
Luiz Bonfá,Guitar,1922-10-17,2001-01-12,False,1922-10-17,2001-01-12,78,Cancer (Prostate)
Perry Botkin Sr.,Guitar,1907-07-22,1973-10-14,False,1907-07-22,1973-10-14,66,NaN
Jean-Paul Bourelly,Guitar,1960-11-23,NaN,True,1960-11-23,NaN,59,NaN
Joshua Breakstone,Guitar,1955-07-22,NaN,True,1955-07-22,NaN,65,NaN
Lenny Breau,Guitar,1941-08-05,1984-08-12,False,1941-08-05,1984-08-12,43,Murdered
