artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
"Tihomir ""Pop"" Asanovi?",Organ,1948-11-16,NaN,True,1948-11-16,NaN,71,NaN
Brian Auger,Organ,1939-07-18,NaN,True,1939-07-18,NaN,81,NaN
Count Basie,Piano,1904-08-21,1984-04-26,False,1904-08-21,1984-04-26,79,Cancer (Pancreas)
Pat Bianchi,Organ,1975-12-07,NaN,True,1975-12-07,NaN,44,NaN
Judy Blair,Vocals,1948-12-29,NaN,True,1948-12-29,NaN,71,NaN
Carla Bley,Piano,1936-05-11,NaN,True,1936-05-11,NaN,84,NaN
Gary Brunotte,Piano,1948-10-04,NaN,True,1948-10-04,NaN,72,NaN
Milt Buckner,Piano,1915-07-10,1977-07-27,False,1915-07-10,1977-07-27,62,Heart Attack
Mike Carr,Organ,1937-12-07,2017-09-22,False,1937-12-07,2017-09-22,79,NaN
Ray Charles,Vocals,1930-09-23,2004-06-10,False,1930-09-23,2004-06-10,73,Liver Failure
Call Cobbs Jr.,Piano,1911-01-30,1971-09-21,False,1911-01-30,1971-09-21,60,Car Accident
Alice Coltrane,Piano,1937-08-27,2007-01-12,False,1937-08-27,2007-01-12,69,Respiratory Failure
Tom Coster,Keyboards,1941-08-21,NaN,True,1941-08-21,NaN,79,NaN
Jackie Davis,Organ,1920-12-13,1999-11-02,False,1920-12-13,1999-11-02,78,Stroke
Wild Bill Davis,Piano,1918-11-24,1995-08-17,False,1918-11-24,1995-08-17,76,NaN
Lenny Dee,Organ,1923-01-05,2006-02-12,False,1923-01-05,2006-02-12,83,NaN
Joey DeFrancesco,Organ,1971-04-10,NaN,True,1971-04-10,NaN,49,NaN
'Papa' John DeFrancesco,Organ,1940-09-12,NaN,True,1940-09-12,NaN,80,NaN
Barbara Dennerlein,Organ,1964-09-25,NaN,True,1964-09-25,NaN,56,NaN
Bill Doggett,Piano,1916-02-16,1996-11-13,False,1916-02-16,1996-11-13,80,Heart Attack
Dr. John,Vocals,1941-11-20,2019-06-06,False,1941-11-20,2019-06-06,77,Heart Attack
Charles Earland,Organ,1941-05-24,1999-12-11,False,1941-05-24,1999-12-11,58,Heart Failure
Georgie Fame,Keyboards,1943-06-26,NaN,True,1943-06-26,NaN,77,NaN
