artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death,Column1
Irving Aaronson,Piano,1895,3/10/1963,FALSE,1895-01-01,3/10/1963,68,Heart Attack,
Anders Aarum,Piano,12/17/1974,NaN,TRUE,12/17/1974,,45,NaN,
Mike Abene,Piano,1942,NaN,TRUE,1/1/1942,,78,NaN,
Don Abney,Piano,1923,1/20/2000,FALSE,1/1/1923,1/20/2000,77,Kidney Dialysis,
Chris Abrahams,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Muhal Richard Abrams,Piano,9/19/1930,10/29/2017,FALSE,9/19/1930,10/29/2017,87,NaN,
John Adriano Acea,Piano,1917,1963,FALSE,1/1/1917,1/1/1963,45,NaN,
Beegie Adair,Piano,12/11/1937,NaN,TRUE,12/11/1937,,82,NaN,
Kei Akagi,Piano,3/16/1953,NaN,TRUE,3/16/1953,,67,NaN,
Toshiko Akiyoshi,Piano,12/12/1929,NaN,TRUE,12/12/1929,,90,NaN,
Erling Aksdal Jr.,Piano,2/18/1953,NaN,TRUE,2/18/1953,,67,NaN,
Joe Albany,Piano,1/24/1924,1/12/1988,FALSE,1/24/1924,1/12/1988,63,Heart Attack,
Tony Aless,Piano,8/28/1921,1/11/1988,FALSE,8/28/1921,1/11/1988,66,NaN,
Charlie Alexander,Piano,1890,1970,FALSE,1890-01-01,1/1/1970,79,NaN,
Joey Alexander,Piano,6/25/2003,NaN,TRUE,6/25/2003,,17,NaN,
Monty Alexander,Piano,6/6/1944,NaN,TRUE,6/6/1944,,76,NaN,
Sinan Alimanović,Piano,2/11/1954,NaN,TRUE,2/11/1954,,66,NaN,
Esther Allan,Piano,1914,1985,FALSE,1/1/1914,1/1/1985,71,Heart Failure,
Geri Allen,Piano,1957,2017,FALSE,1/1/1957,1/1/2017,60,Cancer,
Steve Allen,Piano,1921,2000,FALSE,1/1/1921,1/1/2000,78,Car Accident,
Mose Allison,Piano,11/11/1927,11/15/2016,FALSE,11/11/1927,11/15/2016,89,NaN,
Mikhail Alperin,Piano,11/7/1956,5/11/2018,FALSE,11/7/1956,5/11/2018,61,NaN,
Helio Alves,Piano,1966,NaN,TRUE,1/1/1966,,54,NaN,
Jimmy Amadie,Piano,1937,2013,FALSE,1/1/1937,1/1/2013,76,Cancer (Lung),
Albert Ammons,Piano,3/1/1907,12/2/1949,FALSE,3/1/1907,12/2/1949,42,Natural Causes,
Franck Amsallem,Piano,10/25/1961,NaN,TRUE,10/25/1961,,58,NaN,
Chris Anderson,Piano,2/26/1926,2/4/2008,FALSE,2/26/1926,2/4/2008,81,Stroke,
Bill Anschell,Piano,NaN,NaN,NaN,,,NaN,NaN,
Jim Aton,Double bass,1925,2008,FALSE,1/1/1925,1/1/2008,82,NaN,
Ivar Antonsen,Piano,4/16/1946,NaN,TRUE,4/16/1946,,74,NaN,
Lil Hardin Armstrong,Piano,1898,8/27/1971,FALSE,1898-01-01,8/27/1971,73,Heart Attack,
Dag Arnesen,Piano,5/3/1950,NaN,TRUE,5/3/1950,,70,NaN,
Lynne Arriale,Piano,1957,NaN,TRUE,1/1/1957,,63,NaN,
Roy Assaf,Piano,NaN,NaN,NaN,,,NaN,NaN,
Ehud Asherie,Piano,1979,NaN,TRUE,1/1/1979,,41,NaN,
Fahir Atakoğlu,Piano,NaN,NaN,NaN,,,NaN,NaN,
Eivind Austad,Piano,11/3/1973,NaN,TRUE,11/3/1973,,46,NaN,
Lovie Austin,Piano,1887-09-19,7/8/1972,FALSE,1887-09-19,7/8/1972,84,NaN,
Franck Avitabile,Piano,11/24/1971,NaN,TRUE,11/24/1971,,48,NaN,
Rafig Babayev,Piano,3/31/1937,3/19/1994,FALSE,3/31/1937,3/19/1994,56,Victim of Terrorism,
Ilir Bajri,Piano,1969,NaN,TRUE,1/1/1969,,51,NaN,
Bob Baldwin,Piano,1960,NaN,TRUE,1/1/1960,,60,NaN,
Jon Balke,Piano,6/7/1955,NaN,TRUE,6/7/1955,,65,NaN,
Jon Ballantyne,Piano,1963,NaN,TRUE,1/1/1963,,57,NaN,
Louis Banks,Piano,2/11/1941,NaN,TRUE,2/11/1941,,79,NaN,
Patricia Barber,Vocals,11/8/1955,NaN,TRUE,11/8/1955,,64,NaN,
Kenny Barron,Piano,6/9/1943,NaN,TRUE,6/9/1943,,77,NaN,
Bruce Barth,Piano,9/7/1958,NaN,TRUE,9/7/1958,,62,NaN,
Nik Bärtsch,Piano,1971,NaN,TRUE,1/1/1971,,49,NaN,
Count Basie,Piano,8/21/1904,4/26/1984,FALSE,8/21/1904,4/26/1984,79,Cancer (Pancreas),
Dave Bass,Piano,6/21/1950,NaN,TRUE,6/21/1950,,70,NaN,
Django Bates,Piano,10/2/1960,NaN,TRUE,10/2/1960,,59,NaN,
Jonathan Batiste,Piano,11/11/1986,NaN,TRUE,11/11/1986,,33,NaN,
Stefano Battaglia,Piano,1965,NaN,TRUE,1/1/1965,,55,NaN,
Emily Bear,Piano,8/30/2001,NaN,TRUE,8/30/2001,,19,NaN,
Jim Beard,Keyboards,8/26/1960,NaN,TRUE,8/26/1960,,60,NaN,
John Beasley,Piano,10/10/1960,NaN,TRUE,10/10/1960,,59,NaN,
Gordon Beck,Piano,9/16/1935,11/6/2011,FALSE,9/16/1935,11/6/2011,76,NaN,
Burak Bedikyan,Piano,NaN,NaN,NaN,,,NaN,NaN,
Peter Beets,Piano,6/12/1971,NaN,TRUE,6/12/1971,,49,NaN,
Richie Beirach,Piano,5/23/1947,NaN,TRUE,5/23/1947,,73,NaN,
Martin Bejerano,Piano,NaN,NaN,NaN,,,NaN,NaN,
Marco Benevento,Piano,7/22/1977,NaN,TRUE,7/22/1977,,43,NaN,
David Benoit,Piano,8/18/1953,NaN,TRUE,8/18/1953,,67,NaN,
Espen Berg,Piano,6/30/1983,NaN,TRUE,6/30/1983,,37,NaN,
Shelly Berg,Piano,1955,NaN,TRUE,1/1/1955,,65,NaN,
Borah Bergman,Piano,12/13/1926,10/18/2012,FALSE,12/13/1926,10/18/2012,85,Dementia,
David Berkman,Piano,1958,NaN,TRUE,1/1/1958,,62,NaN,
Mark Berman,Piano,NaN,NaN,NaN,,,NaN,NaN,
Warren Bernhardt,Piano,1938,NaN,TRUE,1/1/1938,,82,NaN,
Ove Alexander Billington,Piano,8/10/1979,NaN,TRUE,8/10/1979,,41,NaN,
Károly Binder,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Adam Birnbaum,Piano,1979,NaN,TRUE,1/1/1979,,41,NaN,
Michel Bisceglia,Piano,1/4/1970,NaN,TRUE,1/4/1970,,50,NaN,
"Walter Bishop, Jr.",Piano,10/4/1927,1/24/1998,FALSE,10/4/1927,1/24/1998,70,Heart Attack,
Terje Bjørklund,Piano,1/2/1945,NaN,TRUE,1/2/1945,,75,NaN,
Ketil Bjørnstad,Piano,4/25/1952,NaN,TRUE,4/25/1952,,68,NaN,
Miles Black,Piano,4/13/1966,NaN,TRUE,4/13/1966,,54,NaN,
Eubie Blake,Piano,1887-02-07,2/12/1983,FALSE,1887-02-07,2/12/1983,96,NaN,
Ran Blake,Piano,4/20/1935,NaN,TRUE,4/20/1935,,85,NaN,
Paul Bley,Piano,11/10/1932,1/3/2016,FALSE,11/10/1932,1/3/2016,83,Natural Causes,
Carla Bley,Piano,5/11/1936,NaN,TRUE,5/11/1936,,84,NaN,
Oddbjørn Blindheim,Piano,2/24/1944,NaN,TRUE,2/24/1944,,76,NaN,
Brynjulf Blix,Piano,12/20/1951,NaN,TRUE,12/20/1951,,68,NaN,
Jimmy Blythe,Piano,5/20/1901,6/14/1931,FALSE,5/20/1901,6/14/1931,30,Meningitis,
Stefano Bollani,Piano,12/5/1972,NaN,TRUE,12/5/1972,,47,NaN,
Claude Bolling,Piano,4/10/1930,NaN,TRUE,4/10/1930,,90,NaN,
Rune Brøndbo,Keyboards,3/2/1968,NaN,TRUE,3/2/1968,,52,NaN,
Joe Bonner,Piano,1948,NaN,TRUE,1/1/1948,,72,NaN,
Beryl Booker,Piano,6/7/1922,9/30/1978,FALSE,6/7/1922,9/30/1978,56,NaN,
James Booker,Keyboards,12/17/1939,1983,FALSE,12/17/1939,1/1/1983,43,Kidney Failure,
Thomas Borino,Piano,NaN,NaN,NaN,,,NaN,NaN,
Michiel Borstlap,Piano,8/5/1966,NaN,TRUE,8/5/1966,,54,NaN,
Kris Bowers,Piano,1989,NaN,TRUE,1/1/1989,,31,NaN,
Ivan Božičević,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Joanne Brackeen,Piano,7/26/1938,NaN,TRUE,7/26/1938,,82,NaN,
