artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs
Frøy Aagre,Tenor,1977-06-08,NaN,True,1977-06-08,,43.0
Mindi Abair,Vocals,1969,NaN,True,1969-01-01,,51.0
Greg Abate,Alto saxophone,1947-05-31,NaN,True,1947-05-31,,73.0
George Adams,Tenor saxophone,1940-04-29,1992-11-14,False,1940-04-29,1992-11-14,52.0
Pepper Adams,Baritone saxophone,1930-10-08,1986-09-10,False,1930-10-08,1986-09-10,55.0
"Julian ""Cannonball"" Adderley",Alto saxophone,1928-09-15,1975-08-08,False,1928-09-15,1975-08-08,46.0
Ahmad Alaadeen,Soprano saxophone,1934,2010,False,1934-01-01,2010-01-01,76.0
Gerald Albright,Saxophone,1957-08-30,NaN,True,1957-08-30,,63.0
Eric Alexander,Saxophone,1968-08-04,NaN,True,1968-08-04,,52.0
Gene Allen,Baritone saxophone,1928,2008,False,1928-01-01,2008-01-01,80.0
Harry Allen,Saxophone,1966-10-12,NaN,True,1966-10-12,,53.0
Pete Allen,Clarinet,1954-11-23,NaN,True,1954-11-23,,65.0
Sophie Alour,Tenor saxophone,1974-12-24,NaN,True,1974-12-24,,45.0
Gene Ammons,Tenor saxophone,1925-04-14,1974-08-06,False,1925-04-14,1974-08-06,49.0
Curtis Amy,Saxophone,1929-10-11,2002-06-05,False,1929-10-11,2002-06-05,72.0
Fred Anderson,Saxophone,1929-03-22,2010-06-24,False,1929-03-22,2010-06-24,81.0
Wessell Anderson,Saxophone,1964,NaN,True,1964-01-01,,56.0
Peter Apfelbaum,Tenor saxophone,1960-08-21,NaN,True,1960-08-21,,60.0
Julian Argüelles,Saxophone,1966-01-28,NaN,True,1966-01-28,,54.0
Harold Ashby,Tenor saxophone,1925,2003,False,1925-01-01,2003-01-01,78.0
Gilad Atzmon,Alto saxophone,1963,NaN,True,1963-01-01,,57.0
Georgie Auld,Saxophone,1919-05-19,1990-01-08,False,1919-05-19,1990-01-08,70.0
Albert Ayler,Tenor saxophone,1936-07-13,1970-11-25,False,1936-07-13,1970-11-25,34.0
