artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
Frøy Aagre,Tenor saxophone,6/8/1977,NaN,TRUE,1977-06-08,,43,NaN
Mindi Abair,Vocals,1/1/1969,NaN,TRUE,1969-01-01,,51,NaN
Greg Abate,Alto saxophone,5/31/1947,NaN,TRUE,1947-05-31,,73,NaN
George Adams,Tenor saxophone,4/29/1940,11/14/1992,FALSE,1940-04-29,1992-11-14,52,Illness
Pepper Adams,Baritone saxophone,10/8/1930,9/10/1986,FALSE,1930-10-08,1986-09-10,55,Cancer (Lung)
"Julian ""Cannonball"" Adderley",Alto saxophone,9/15/1928,8/8/1975,FALSE,1928-09-15,1975-08-08,46,Cerebral Hemorrhage
Ahmad Alaadeen,Soprano saxophone,1/1/1934,2010,FALSE,1934-01-01,2010-01-01,76,NaN
Gerald Albright,Alto saxophone,8/30/1957,NaN,TRUE,1957-08-30,,63,NaN
Eric Alexander,Tenor saxophone,8/4/1968,NaN,TRUE,1968-08-04,,52,NaN
Gene Allen,Baritone saxophone,1928,2008,FALSE,1928-12-05,2008-02-14,80,NaN
Harry Allen,Tenor saxophone,10/12/1966,NaN,TRUE,1966-10-12,,53,NaN
Pete Allen,Clarinet,11/23/1954,NaN,TRUE,1954-11-23,,65,NaN
Sophie Alour,Tenor saxophone,12/24/1974,NaN,TRUE,1974-12-24,,45,NaN
Gene Ammons,Tenor saxophone,4/14/1925,8/6/1974,FALSE,1925-04-14,1974-08-06,49,Cancer (Bone)
Curtis Amy,Tenor saxophone,10/11/1929,6/5/2002,FALSE,1929-10-11,2002-06-05,72,NaN
Fred Anderson,Tenor saxophone,3/22/1929,6/24/2010,FALSE,1929-03-22,2010-06-24,81,NaN
Wessell Anderson,Sopranino saxophone,1964,NaN,TRUE,1964-01-01,,56,NaN
Peter Apfelbaum,Tenor saxophone,8/21/1960,NaN,TRUE,1960-08-21,,60,NaN
Julian Argüelles,Soprano saxophone,1/28/1966,NaN,TRUE,1966-01-28,,54,NaN
Harold Ashby,Tenor saxophone,1925,2003,FALSE,1925-01-01,2003-01-01,78,NaN
Gilad Atzmon,Alto saxophone,1963,NaN,TRUE,1963-01-01,,57,NaN
