artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs
Ray Anderson,Trombone,1952-10-16,NaN,True,1952-10-16,,68.0
Troy Andrews,Trombone,1986-01-02,y,False,1986-01-02,,nan
Bill Hughes,Trombone,1930-03-28,2018-01-14,False,1930-03-28,2018-01-14,87.0
Bill Harris,Trombone,1916-10-28,1973-08-21,False,1916-10-28,1973-08-21,56.0
David Baker,Trombone,1931-12-21,2016-03-26,False,1931-12-21,2016-03-26,84.0
Bennie Green,Trombone,1923-04-16,1977-03-23,False,1923-04-16,1977-03-23,53.0
Charlie Green,Trombone,1893,1935-11-27,False,1893-01-01,1935-11-27,42.0
Dan Barrett,Cornet,1955-12-14,NaN,True,1955-12-14,,64.0
Chris Barber,Trombone,1930-04-17,NaN,True,1930-04-17,,90.0
Conny Bauer,Trombone,1943-07-04,NaN,True,1943-07-04,,77.0
Johannes Bauer,Trombone,1954-07-22,2016-05-06,False,1954-07-22,2016-05-06,61.0
Eddie Bert,Trombone,1922-05-16,2012-09-27,False,1922-05-16,2012-09-27,90.0
Harold Betters,Trombone,1928-03-21,2020-10-11,False,1928-03-21,2020-10-11,92.0
Jeb Bishop,Trombone,1962,NaN,True,1962-01-01,,58.0
Big Bill Bissonnette,Trombone,1937,NaN,True,1937-01-01,,83.0
Bert Boeren,Trombone,1962-03-11,NaN,True,1962-03-11,,58.0
Luis Bonilla,Trombone,1965-10-12,NaN,True,1965-10-12,,55.0
Richard B. Boone,Trombone,1930-02-24,1999-02-08,False,1930-02-24,1999-02-08,68.0
Tom Brantley,Trombone,1970,NaN,True,1970-01-01,,50.0
Bob Brookmeyer,Valve trombone,1929-12-19,2011-12-15,False,1929-12-19,2011-12-15,81.0
Garnett Brown,Trombone,1936-01-31,NaN,True,1936-01-31,,84.0
Lawrence Brown,Trombone,1907-08-03,1988-09-05,False,1907-08-03,1988-09-05,81.0
Tom Brown,Trombone,1888,1958,False,1888-01-01,1958-01-01,70.0
George Brunies,Trombone,1902-02-06,1974-11-19,False,1902-02-06,1974-11-19,72.0
Papa Bue,Trombone,1930-05-08,2011-11-02,False,1930-05-08,2011-11-02,81.0
Don Sebesky,Trombone,1937-12-10,NaN,True,1937-12-10,,82.0
Dick Shearer,Trombone,NaN,NaN,NaN,,,NaN
Gordon Campbell,Trombone,NaN,NaN,NaN,,,NaN
Jimmy Cheatham,Trombone,1924-06-18,2007-07-12,False,1924-06-18,2007-07-12,83.0
George Chisholm,Trombone,1915,1997,False,1915-01-01,1997-01-01,82.0
Emile Christian,Trombone,1895-04-20,1973-12-03,False,1895-04-20,1973-12-03,78.0
Jimmy Cleveland,Trombone,1926-05-03,2008-08-23,False,1926-05-03,2008-08-23,82.0
Marty Cook,Trombone,1947,NaN,True,1947-01-01,,73.0
Michael Conner,Trombone,NaN,NaN,NaN,,,NaN
Willie Cornish,Trombone,1875,1942,False,1875-01-01,1942-01-01,66.0
