artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death
Ray Anderson,Trombone,1952-10-16,NaN,True,1952-10-16,,68.0,NaN
Troy Andrews,Trombone,1986-01-02,NaN,True,1986-01-02,,34.0,NaN
Bill Hughes,Trombone,1930-03-28,2018-01-14,False,1930-03-28,2018-01-14,87.0,NaN
Bill Harris,Trombone,1916-10-28,1973-08-21,False,1916-10-28,1973-08-21,56.0,NaN
David Baker,Trombone,1931-12-21,2016-03-26,False,1931-12-21,2016-03-26,84.0,Parkinson's
Bennie Green,Trombone,1923-04-16,1977-03-23,False,1923-04-16,1977-03-23,53.0,NaN
Charlie Green,Trombone,1893,1935-11-27,False,1893-01-01,1935-11-27,42.0,Hypothermia
Dan Barrett,Cornet,1955-12-14,NaN,True,1955-12-14,,64.0,NaN
Chris Barber,Trombone,1930-04-17,NaN,True,1930-04-17,,90.0,NaN
Conny Bauer,Trombone,1943-07-04,NaN,True,1943-07-04,,77.0,NaN
Johannes Bauer,Trombone,1954-07-22,2016-05-06,False,1954-07-22,2016-05-06,61.0,NaN
Eddie Bert,Trombone,1922-05-16,2012-09-27,False,1922-05-16,2012-09-27,90.0,NaN
Harold Betters,Trombone,1928-03-21,2020-10-11,False,1928-03-21,2020-10-11,92.0,NaN
Jeb Bishop,Trombone,1962,NaN,True,1962-01-01,,58.0,NaN
Big Bill Bissonnette,Trombone,1937,NaN,True,1937-01-01,,83.0,NaN
Bert Boeren,Trombone,1962-03-11,NaN,True,1962-03-11,,58.0,NaN
Luis Bonilla,Trombone,1965-10-12,NaN,True,1965-10-12,,55.0,NaN
Richard B. Boone,Trombone,1930-02-24,1999-02-08,False,1930-02-24,1999-02-08,68.0,NaN
Tom Brantley,Trombone,1970,NaN,True,1970-01-01,,50.0,NaN
Bob Brookmeyer,Trombone,1929-12-19,2011-12-15,False,1929-12-19,2011-12-15,81.0,Heart Failure
Garnett Brown,Trombone,1936-01-31,NaN,True,1936-01-31,,84.0,NaN
Lawrence Brown,Trombone,1907-08-03,1988-09-05,False,1907-08-03,1988-09-05,81.0,NaN
Tom Brown,Trombone,1888-06-03,1958-03-25,False,1888-06-03,1958-03-25,69.0,NaN
George Brunies,Trombone,1902-02-06,1974-11-19,False,1902-02-06,1974-11-19,72.0,NaN
Papa Bue,Trombone,1930-05-08,2011-11-02,False,1930-05-08,2011-11-02,81.0,NaN
Don Sebesky,Trombone,1937-12-10,NaN,True,1937-12-10,,82.0,NaN
Dick Shearer,Trombone,1940-09-21,1997-09-20,False,1940-09-21,1997-09-20,56.0,NaN
Jimmy Cheatham,Trombone,1924-06-18,2007-07-12,False,1924-06-18,2007-07-12,83.0,Surgery Complications
George Chisholm,Trombone,1915,1997,False,1915-01-01,1997-01-01,82.0,Alzheimer's
Emile Christian,Trombone,1895-04-20,1973-12-03,False,1895-04-20,1973-12-03,78.0,NaN
Jimmy Cleveland,Trombone,1926-05-03,2008-08-23,False,1926-05-03,2008-08-23,82.0,NaN
Marty Cook,Trombone,1947,NaN,True,1947-01-01,,73.0,NaN
Willie Cornish,Trombone,1875,1942,False,1875-01-01,1942-01-01,66.0,NaN
Hal Crook,Trombone,1950-07-28,NaN,True,1950-07-28,,70.0,NaN
Elmer Crumbley,Trombone,1908,1993,False,1908-01-01,1993-01-01,85.0,NaN
Michael Davis,Trombone,1961-08-13,NaN,True,1961-08-13,,NaN,NaN
Steve Davis,Trombone,1967-04-14,NaN,True,1967-04-14,,53.0,NaN
Raul de Souza,Trombone,1934,NaN,True,1934-01-01,,86.0,NaN
Michael Dease,Trombone,1982-08-25,NaN,True,1982-08-25,,38.0,NaN
Willie Dennis,Trombone,1926-01-10,1965-07-08,False,1926-01-10,1965-07-08,39.0,Car Accident
Vic Dickenson,Trombone,1906-08-06,1984-11-16,False,1906-08-06,1984-11-16,78.0,Cancer
Tommy Dorsey,Trombone,1905-11-19,1956-11-26,False,1905-11-19,1956-11-26,51.0,Choking
Don Drummond,Trombone,1932-03-12,1969,False,1932-03-12,1969-01-01,37.0,Heart Failure
Billy Eckstine,Vocals,1914-07-08,1993-03-08,False,1914-07-08,1993-03-08,78.0,Heart Attack
Eddie Edwards,Trombone,1891-05-22,1963-04-09,False,1891-05-22,1963-04-09,71.0,NaN
Bob Enevoldsen,Tenor saxophone,1920,2005,False,1920-01-01,2005-01-01,85.0,NaN
Robin Eubanks,Trombone,1955-10-25,NaN,True,1955-10-25,,65.0,NaN
Mike Fahn,Trombone,1960,NaN,True,1960-01-01,,60.0,NaN
Hugh Fraser,Trombone,1958,NaN,True,1958-01-01,,62.0,NaN
John Fedchock,Trombone,1957,NaN,True,1957-01-01,,63.0,NaN
Glenn Ferris,Trombone,1950-06-27,NaN,True,1950-06-27,,70.0,NaN
Carl Fontana,Trombone,1928-07-18,2003-10-09,False,1928-07-18,2003-10-09,75.0,Alzheimer's
Bruce Fowler,Trombone,1947-07-10,NaN,True,1947-07-10,,73.0,NaN
Curtis Fowlkes,Trombone,1950-03-19,NaN,True,1950-03-19,,70.0,NaN
Curtis Fuller,Trombone,1934-12-15,NaN,True,1934-12-15,,85.0,NaN
Vincent Gardner,Trombone,1972,NaN,True,1972-01-01,,48.0,NaN
Clark Gayton,Trombone,1963,NaN,True,1963-01-01,,57.0,NaN
Matthew Gee,Trombone,1925-11-25,1979-07-18,False,1925-11-25,1979-07-18,53.0,NaN
Marshall Gilkes,Trombone,1978-09-30,NaN,True,1978-09-30,,42.0,NaN
Tyree Glenn,Trombone,1912-11-23,1974-05-18,False,1912-11-23,1974-05-18,61.0,Cancer
Wycliffe Gordon,Trombone,1967-05-29,NaN,True,1967-05-29,,53.0,NaN
Urbie Green,Trombone,1926-08-08,2018-12-31,False,1926-08-08,2018-12-31,92.0,NaN
Al Grey,Trombone,1925-06-06,2000-03-24,False,1925-06-06,2000-03-24,74.0,Diabetes
Craig Harris,Trombone,1953-09-10,NaN,True,1953-09-10,,67.0,NaN
Jimmy Harrison,Trombone,1900,1931,False,1900-01-01,1931-01-01,30.0,Stomach Illness
Bob Havens,Trombone,1930,NaN,True,1930-01-01,,90.0,NaN
Thamon Hayes,Trombone,1899-10-11,1978-08-01,False,1899-10-11,1978-08-01,78.0,NaN
Wayne Henderson,Trombone,1939-09-24,2014-04-05,False,1939-09-24,2014-04-05,74.0,Heart Failure
Conrad Herwig,Trombone,1959-11-01,NaN,True,1959-11-01,,61.0,NaN
J. C. Higginbotham,Trombone,1906-05-11,1973-05-26,False,1906-05-11,1973-05-26,67.0,NaN
Dave Horler,Trombone,1943,NaN,True,1943-01-01,,77.0,NaN
Joseph Bowie,Trombone,1953-10-17,NaN,True,1953-10-17,,67.0,NaN
Pee Wee Hunt,Trombone,1907-05-10,1979-06-22,False,1907-05-10,1979-06-22,72.0,NaN
Quentin Jackson,Trombone,1909-01-13,1976-10-02,False,1909-01-13,1976-10-02,66.0,NaN
Carol Jarvis,Trombone,1977-11-17,NaN,True,1977-11-17,,42.0,NaN
J. J. Johnson,Trombone,1924-01-22,2001-02-04,False,1924-01-22,2001-02-04,77.0,Suicide
Ward Kimball,Trombone,1914,2002,False,1914-01-01,2002-01-01,88.0,Pnuemonia
